Reporting_Period,County,Facility_Name,Longitude ,Latitude,Number_of_Incarcerated_in_the_Facility,Total_Number_Tested,Total_Confirmed_Positive,Confirmed_at_Intake_(Optional),Confirmed_in_First_14 Days_(Optional),Confirmed_In_Custody_(Optional),Hospitalized,Estimated_Resolved,Deaths,Additional_Information_(Optional),Staff_Tested,Staff_Confirmed_Positive,Staff_Resolved,Additional_County_Information
07/25/20,Los Angeles,LA Century Reg. Det. Facility,33.92846578,-118.2266022,"1,183",U,<11,U,U,U,U,U,0,*Inmate Deaths- Number reported denotes COVID 19 positive at time of death,,,,
08/01/20,Los Angeles,LA Century Reg. Det. Facility,33.92846578,-118.2266022,"1,214",U,<11,U,U,U,U,U,0,,,,,
08/08/20,Los Angeles,LA Century Reg. Det. Facility,33.92846578,-118.2266022,"1,249",126,<11,U,U,U,U,U,0,,,,,
08/15/20,Los Angeles,LA Century Reg. Det. Facility,33.92846578,-118.2266022,"1,248",107,<11,U,U,U,U,U,0,,,,,
08/22/20,Los Angeles,LA Century Reg. Det. Facility,33.92846578,-118.2266022,"1,248",125,<11,U,U,U,U,U,0,,,,,
08/29/20,Los Angeles,LA Century Reg. Det. Facility,33.92846578,-118.2266022,"1,268",125,0,U,U,U,U,U,0,,,,,
09/05/20,Los Angeles,LA Century Reg. Det. Facility,33.92846578,-118.2266022,"1,278",108,0,U,U,U,U,U,0,,,,,
09/12/20,Los Angeles,LA Century Reg. Det. Facility,33.92846578,-118.2266022,"1,294",131,<11,U,U,U,U,U,0,,,,,
09/19/20,Los Angeles,LA Century Reg. Det. Facility,33.92846578,-118.2266022,"1,298",116,<11,U,U,U,U,U,0,,,,,
09/26/20,Los Angeles,LA Century Reg. Det. Facility,33.92846578,-118.2266022,"1,325",146,0,U,U,U,U,U,0,,,,,
10/03/20,Los Angeles,LA Century Reg. Det. Facility,33.92846578,-118.2266022,"1,317",161,<11,U,U,U,U,U,0,,,,,
10/10/20,Los Angeles,LA Century Reg. Det. Facility,33.92846578,-118.2266022,"1,314",173,<11,U,U,U,U,U,0,,,,,
10/17/20,Los Angeles,LA Century Reg. Det. Facility,33.92846578,-118.2266022,"1,354",151,<11,U,U,U,U,U,0,,,,,
10/24/20,Los Angeles,LA Century Reg. Det. Facility,33.92846578,-118.2266022,"1,362",191,<11,U,U,U,U,U,0,,,,,
10/31/20,Los Angeles,LA Century Reg. Det. Facility,33.92846578,-118.2266022,"1,389",125,<11,U,U,U,U,U,0,,,,,
11/07/20,Los Angeles,LA Century Reg. Det. Facility,33.92846578,-118.2266022,"1,398",152,<11,U,U,U,U,U,0,,,,,
11/14/20,Los Angeles,LA Century Reg. Det. Facility,33.92846578,-118.2266022,"1,418",127,<11,U,U,U,U,U,0,,,,,
11/21/20,Los Angeles,LA Century Reg. Det. Facility,33.92846578,-118.2266022,"1,426",148,<11,U,U,U,U,U,0,,,,,
11/28/20,Los Angeles,LA Century Reg. Det. Facility,33.92846578,-118.2266022,"1,423",106,<11,U,U,U,U,U,<11,,,,,
12/05/20,Los Angeles,LA Century Reg. Det. Facility,33.92846578,-118.2266022,"1,441",135,14,U,U,U,U,U,0,,,,,
12/12/20,Los Angeles,LA Century Reg. Det. Facility,33.92846578,-118.2266022,"1,423",135,26,U,U,U,U,U,0,,,,,
12/19/20,Los Angeles,LA Century Reg. Det. Facility,33.92846578,-118.2266022,"1,373",202,44,U,U,U,U,U,0,,,,,
12/26/20,Los Angeles,LA Century Reg. Det. Facility,33.92846578,-118.2266022,"1,375",158,13,U,U,U,U,U,0,,,,,
01/02/21,Los Angeles,LA Century Reg. Det. Facility,33.92846578,-118.2266022,"1,378",135,14,U,U,U,U,U,0,,,,,
01/09/21,Los Angeles,LA Century Reg. Det. Facility,33.92846578,-118.2266022,"1,377",165,<11,U,U,U,U,U,0,,,,,
